,Unnamed: 0,Company name,Date,Ticker,Industry,Country,Temperature Rise Limit,Industry Rating,Laggard,Average,Leader,comprehensiveness - % of company footprint covered by target
0,0,Mabanee Company KPSC,2023-05-25,(MABANEE),Industry: Real Estate Management & Services,Country/Region: Kuwait,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Mabanee Company KPSC is misaligned with global climate goals and is in line with a business-as-usual scenario.,Mabanee is a laggard among 80 companies in the real estate management & services industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN GREEN BUILDING, HEALTH & SAFETY, ","HUMAN CAPITAL DEVELOPMENT, ","Mabanee is not a leader on any of the Key Issues that we evaluated for its industry., ",
1,4,WEG SA,2023-05-25,(WEGE3),Industry: Electrical Equipment,Country/Region: Brazil,An Implied Temperature Rise of above 3.2°C indicates that WEG S.A. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,WEG is Average among 56 companies in the electrical equipment industry.,"CORPORATE GOVERNANCE, LABOR MANAGEMENT, ","OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","CORPORATE BEHAVIOR, ",
2,6,Shandong Buchang Pharmaceuticals Co Ltd,2023-05-25,(603858),Industry: Pharmaceuticals,Country/Region: China,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Shandong Buchang Pharmaceuticals Co Ltd is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Buchang Pharma is a laggard among 77 companies in the pharmaceuticals industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, ","PRODUCT SAFETY & QUALITY, ACCESS TO HEALTH CARE, ","TOXIC EMISSIONS & WASTE, ",
3,17,"HYBE Co., Ltd.",2023-05-25,(352820),Industry: Media & Entertainment,Country/Region: South Korea,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that HYBE Co., Ltd. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",Hybe is Average among 68 companies in the media & entertainment industry.,"CORPORATE BEHAVIOR, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, ","PRIVACY & DATA SECURITY, ",
4,20,ROSSIYSKIYE ZHELEZNYE DOROGI OAO,2023-05-25,(ROSSI),Industry: Road & Rail Transport,Country/Region: Russia,"Implied Temperature Rise from MSCI ESG Research is an intuitive, forward-looking metric, expressed in degrees Celsius, designed to show the temperature alignment of companies with global temperature goals.(1)",Russian Railways is a laggard among 29 companies in the road & rail transport industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, COMMUNITY RELATIONS, ","CARBON EMISSIONS, HEALTH & SAFETY, ","Russian Railways is not a leader on any of the Key Issues that we evaluated for its industry., ",
5,23,Divi's Laboratories Ltd,2023-05-25,(DIVISLAB),Industry: Health Care Equipment & Supplies,Country/Region: India,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Divi's Laboratories Ltd is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Divi's is a laggard among 83 companies in the health care equipment & supplies industry.,"CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, PRODUCT SAFETY & QUALITY, CARBON EMISSIONS, ","CORPORATE BEHAVIOR, ","Divi's is not a leader on any of the Key Issues that we evaluated for its industry., ",
6,30,"JUNIPER NETWORKS, INC.",2023-05-25,(JNPR),"Industry: Technology Hardware, Storage & Peripherals",Country/Region: United States of America,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that JUNIPER NETWORKS, INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.","Juniper is Average among 46 companies in the technology hardware, storage & peripherals industry.","HUMAN CAPITAL DEVELOPMENT, ","OPPORTUNITIES IN CLEAN TECH, SUPPLY CHAIN LABOR STANDARDS, CONTROVERSIAL SOURCING, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ",6.06%
7,31,Shanghai Junshi Biosciences Co Ltd,2023-05-25,(688180),Industry: Biotechnology,Country/Region: China,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Shanghai Junshi Biosciences Co Ltd is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Junshi Bio is Average among 40 companies in the biotechnology industry.,"Junshi Bio is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, ACCESS TO HEALTH CARE, PRODUCT SAFETY & QUALITY, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, ACCESS TO HEALTH CARE, PRODUCT SAFETY & QUALITY, TOXIC EMISSIONS & WASTE, ","Junshi Bio is not a leader on any of the Key Issues that we evaluated for its industry., ",
8,32,"Guotai Junan Securities Co., Ltd.",2023-05-25,(601211),Industry: Investment Banking & Brokerage,Country/Region: China,"An Implied Temperature Rise of below 1.5°C indicates that Guotai Junan Securities Co., Ltd. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",Guotai Junan Securities is a laggard among 53 companies in the investment banking & brokerage industry.,"FINANCING ENVIRONMENTAL IMPACT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, RESPONSIBLE INVESTMENT, PRIVACY & DATA SECURITY, ","Guotai Junan Securities is not a leader on any of the Key Issues that we evaluated for its industry., ",
9,33,"INNER MONGOLIA JUNZHENG ENERGY & CHEMICAL GROUP CO., LTD.",2023-05-25,(601216),Industry: Commodity Chemicals,Country/Region: China,"An Implied Temperature Rise of above 3.2°C indicates that INNER MONGOLIA JUNZHENG ENERGY & CHEMICAL GROUP CO., LTD. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",Inner Mongolia Junzheng Energy & Chemical Group is a laggard among 65 companies in the commodity chemicals industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, ","TOXIC EMISSIONS & WASTE, WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","CHEMICAL SAFETY, ",
