,Date,Company Name,Link,Score
0,2023-05-25,"1-800-FLOWERS.COM, Inc.",https://www.sustainalytics.com/esg-rating/1-800-flowers-com-inc/1007902331,"23.6


 
 
 
 
 


Medium ESG Risk"
1,2023-05-25,1&1 AG,https://www.sustainalytics.com/esg-rating/1-1-ag/1264207944,"22.2


 
 
 
 
 


Medium ESG Risk"
2,2023-05-25,"10X Genomics, Inc.",https://www.sustainalytics.com/esg-rating/10x-genomics-inc/2000259050,"22.6


 
 
 
 
 


Medium ESG Risk"
3,2023-05-25,11 Bit Studios SA,https://www.sustainalytics.com/esg-rating/11-bit-studios-sa/2002992103,"16.3


 
 
 
 
 


Low ESG Risk"
4,2023-05-25,"1Life Healthcare, Inc.",https://www.sustainalytics.com/esg-rating/1life-healthcare-inc/2000165824,"22.5


 
 
 
 
 


Medium ESG Risk"
5,2023-05-25,1st Source Corp.,https://www.sustainalytics.com/esg-rating/1st-source-corp/1008054650,"31.7


 
 
 
 
 


High ESG Risk"
6,2023-05-25,"1stdibs.com, Inc.",https://www.sustainalytics.com/esg-rating/1stdibs-com-inc/2001638549,"28.0


 
 
 
 
 


Medium ESG Risk"
7,2023-05-25,"22nd Century Group, Inc.",https://www.sustainalytics.com/esg-rating/22nd-century-group-inc/1032256453,"35.4


 
 
 
 
 


High ESG Risk"
8,2023-05-25,23andMe Holding Co.,https://www.sustainalytics.com/esg-rating/23andme-holding-co/2008929454,"25.6


 
 
 
 
 


Medium ESG Risk"
9,2023-05-25,29metals Ltd.,https://www.sustainalytics.com/esg-rating/29metals-ltd/2008918361,"42.8


 
 
 
 
 


Severe ESG Risk"
10,2023-05-25,2i Rete Gas SpA,https://www.sustainalytics.com/esg-rating/2i-rete-gas-spa/1008505575,"25.2


 
 
 
 
 


Medium ESG Risk"
11,2023-05-25,"2seventy Bio, Inc.",https://www.sustainalytics.com/esg-rating/2seventy-bio-inc/2008843597,"32.0


 
 
 
 
 


High ESG Risk"
12,2023-05-25,"2U, Inc.",https://www.sustainalytics.com/esg-rating/2u-inc/1068292762,"26.8


 
 
 
 
 


Medium ESG Risk"
13,2023-05-25,"360 DigiTech, Inc.",https://www.sustainalytics.com/esg-rating/360-digitech-inc/2006584641,"28.4


 
 
 
 
 


Medium ESG Risk"
14,2023-05-25,360 One Wam Ltd.,https://www.sustainalytics.com/esg-rating/360-one-wam-ltd/2003131745,"33.3


 
 
 
 
 


High ESG Risk"
15,2023-05-25,"360 Security Technology, Inc.",https://www.sustainalytics.com/esg-rating/360-security-technology-inc/2005880516,"23.1


 
 
 
 
 


Medium ESG Risk"
16,2023-05-25,361 Degrees International Ltd.,https://www.sustainalytics.com/esg-rating/361-degrees-international-ltd/1068063178,"18.6


 
 
 
 
 


Low ESG Risk"
17,2023-05-25,37 Interactive Entertainment Network Technology Group Co. Ltd.,https://www.sustainalytics.com/esg-rating/37-interactive-entertainment-network-technology-group-co-ltd/2003048318,"14.3


 
 
 
 
 


Low ESG Risk"
18,2023-05-25,3D Systems Corp.,https://www.sustainalytics.com/esg-rating/3d-systems-corp/1008186648,"23.0


 
 
 
 
 


Medium ESG Risk"
19,2023-05-25,3i Group Plc,https://www.sustainalytics.com/esg-rating/3i-group-plc/1007896757,"11.1


 
 
 
 
 


Low ESG Risk"
20,2023-05-25,3M Co.,https://www.sustainalytics.com/esg-rating/3m-co/1008167440,"32.2


 
 
 
 
 


High ESG Risk"
21,2023-05-25,3M India Ltd.,https://www.sustainalytics.com/esg-rating/3m-india-ltd/1008759597,"23.4


 
 
 
 
 


Medium ESG Risk"
22,2023-05-25,3R Petroleum Óleo e Gás SA,https://www.sustainalytics.com/esg-rating/3r-petroleum-leo-e-g-s-sa/2008351136,"56.7


 
 
 
 
 


Severe ESG Risk"
23,2023-05-25,"3SBio, Inc.",https://www.sustainalytics.com/esg-rating/3sbio-inc/1032042837,"27.1


 
 
 
 
 


Medium ESG Risk"
24,2023-05-25,407 East Development Group GP,https://www.sustainalytics.com/esg-rating/407-east-development-group-gp/1192017069,"45.7


 
 
 
 
 


Severe ESG Risk"
25,2023-05-25,"407 International, Inc.",https://www.sustainalytics.com/esg-rating/407-international-inc/1010942174,"11.4


 
 
 
 
 


Low ESG Risk"
26,2023-05-25,"4D Molecular Therapeutics, Inc.",https://www.sustainalytics.com/esg-rating/4d-molecular-therapeutics-inc/2004093055,"28.4


 
 
 
 
 


Medium ESG Risk"
27,2023-05-25,4imprint Group Plc,https://www.sustainalytics.com/esg-rating/4imprint-group-plc/1008755591,"17.2


 
 
 
 
 


Low ESG Risk"
28,2023-05-25,"5E Advanced Materials, Inc.",https://www.sustainalytics.com/esg-rating/5e-advanced-materials-inc/2009457756,"42.0


 
 
 
 
 


Severe ESG Risk"
29,2023-05-25,5I5J Holding Group Co. Ltd.,https://www.sustainalytics.com/esg-rating/5i5j-holding-group-co-ltd/2000735067,"15.0


 
 
 
 
 


Low ESG Risk"
30,2023-05-25,"7-Eleven, Inc.",https://www.sustainalytics.com/esg-rating/7-eleven-inc/2000041478,"35.8


 
 
 
 
 


High ESG Risk"
31,2023-05-25,888 Holdings Plc,https://www.sustainalytics.com/esg-rating/888-holdings-plc/1031527945,"18.7


 
 
 
 
 


Low ESG Risk"
32,2023-05-25,"8x8, Inc.",https://www.sustainalytics.com/esg-rating/8x8-inc/1008241202,"29.9


 
 
 
 
 


Medium ESG Risk"
33,2023-05-25,"908 Devices, Inc.",https://www.sustainalytics.com/esg-rating/908-devices-inc/2000257099,"36.8


 
 
 
 
 


High ESG Risk"
34,2023-05-25,"91APP, Inc.",https://www.sustainalytics.com/esg-rating/91app-inc/2008402331,"25.8


 
 
 
 
 


Medium ESG Risk"
35,2023-05-25,"A-Living Smart City Services Co., Ltd.",https://www.sustainalytics.com/esg-rating/a-living-smart-city-services-co-ltd/2005425952,"9.3


 
 
 
 
 


Negligible ESG Risk"
36,2023-05-25,"A-Mark Precious Metals, Inc.",https://www.sustainalytics.com/esg-rating/a-mark-precious-metals-inc/1012436728,"30.3


 
 
 
 
 


High ESG Risk"
37,2023-05-25,A. O. Smith Corp.,https://www.sustainalytics.com/esg-rating/a-o-smith-corp/1008875357,"25.4


 
 
 
 
 


Medium ESG Risk"
38,2023-05-25,A.G. BARR Plc,https://www.sustainalytics.com/esg-rating/a-g-barr-plc/1013445980,"23.7


 
 
 
 
 


Medium ESG Risk"
39,2023-05-25,A.P. Møller-Mærsk A/S,https://www.sustainalytics.com/esg-rating/a-p-m-ller-m-rsk-a-s/1008753664,"17.6


 
 
 
 
 


Low ESG Risk"
40,2023-05-25,"A10 Networks, Inc.",https://www.sustainalytics.com/esg-rating/a10-networks-inc/1032612598,"21.9


 
 
 
 
 


Medium ESG Risk"
41,2023-05-25,A2A SpA,https://www.sustainalytics.com/esg-rating/a2a-spa/1008761780,"21.3


 
 
 
 
 


Medium ESG Risk"
42,2023-05-25,A2Dominion Housing Group Ltd.,https://www.sustainalytics.com/esg-rating/a2dominion-housing-group-ltd/1048667065,"17.4


 
 
 
 
 


Low ESG Risk"
43,2023-05-25,"AAC Technologies Holdings, Inc.",https://www.sustainalytics.com/esg-rating/aac-technologies-holdings-inc/1031124645,"17.2


 
 
 
 
 


Low ESG Risk"
44,2023-05-25,"Aadi Bioscience, Inc.",https://www.sustainalytics.com/esg-rating/aadi-bioscience-inc/2009125237,"26.4


 
 
 
 
 


Medium ESG Risk"
45,2023-05-25,AAK AB,https://www.sustainalytics.com/esg-rating/aak-ab/1008002075,"25.3


 
 
 
 
 


Medium ESG Risk"
46,2023-05-25,Aalberts NV,https://www.sustainalytics.com/esg-rating/aalberts-nv/1008759982,"24.1


 
 
 
 
 


Medium ESG Risk"
47,2023-05-25,Aamal Co. QSC,https://www.sustainalytics.com/esg-rating/aamal-co-qsc/1047271657,"39.4


 
 
 
 
 


High ESG Risk"
48,2023-05-25,"AAON, Inc.",https://www.sustainalytics.com/esg-rating/aaon-inc/1008198746,"23.8


 
 
 
 
 


Medium ESG Risk"
49,2023-05-25,AAR Corp.,https://www.sustainalytics.com/esg-rating/aar-corp/1008046400,"34.0


 
 
 
 
 


High ESG Risk"
50,2023-05-25,Aareal Bank AG,https://www.sustainalytics.com/esg-rating/aareal-bank-ag/1008754176,"18.6


 
 
 
 
 


Low ESG Risk"
51,2023-05-25,Aarti Drugs Ltd.,https://www.sustainalytics.com/esg-rating/aarti-drugs-ltd/2000099229,"35.4


 
 
 
 
 


High ESG Risk"
52,2023-05-25,AARTI Industries Ltd.,https://www.sustainalytics.com/esg-rating/aarti-industries-ltd/1017332931,"23.0


 
 
 
 
 


Medium ESG Risk"
53,2023-05-25,Aavas Financiers Ltd.,https://www.sustainalytics.com/esg-rating/aavas-financiers-ltd/2004425338,"26.2


 
 
 
 
 


Medium ESG Risk"
54,2023-05-25,AB Science SA,https://www.sustainalytics.com/esg-rating/ab-science-sa/1069957172,"36.3


 
 
 
 
 


High ESG Risk"
55,2023-05-25,Abacus Property Group,https://www.sustainalytics.com/esg-rating/abacus-property-group/1015535930,"13.4


 
 
 
 
 


Low ESG Risk"
56,2023-05-25,ABANCA Corporación Bancaria SA,https://www.sustainalytics.com/esg-rating/abanca-corporaci-n-bancaria-sa/1149191911,"19.8


 
 
 
 
 


Low ESG Risk"
57,2023-05-25,ABB India Ltd.,https://www.sustainalytics.com/esg-rating/abb-india-ltd/1008756766,"17.2


 
 
 
 
 


Low ESG Risk"
58,2023-05-25,ABB Ltd.,https://www.sustainalytics.com/esg-rating/abb-ltd/1007896773,"15.8


 
 
 
 
 


Low ESG Risk"
59,2023-05-25,Abbott Laboratories,https://www.sustainalytics.com/esg-rating/abbott-laboratories/1008125729,"24.8


 
 
 
 
 


Medium ESG Risk"
60,2023-05-25,"AbbVie, Inc.",https://www.sustainalytics.com/esg-rating/abbvie-inc/1149763952,"29.8


 
 
 
 
 


Medium ESG Risk"
61,2023-05-25,ABC arbitrage SA,https://www.sustainalytics.com/esg-rating/abc-arbitrage-sa/1012371551,"30.8


 
 
 
 
 


High ESG Risk"
62,2023-05-25,"ABC-MART, INC.",https://www.sustainalytics.com/esg-rating/abc-mart-inc/1013564118,"19.6


 
 
 
 
 


Low ESG Risk"
63,2023-05-25,Abcam Plc,https://www.sustainalytics.com/esg-rating/abcam-plc/1017438759,"11.8


 
 
 
 
 


Low ESG Risk"
64,2023-05-25,"AbCellera Biologics, Inc.",https://www.sustainalytics.com/esg-rating/abcellera-biologics-inc/2004431238,"31.9


 
 
 
 
 


High ESG Risk"
65,2023-05-25,"AbClon, Inc.",https://www.sustainalytics.com/esg-rating/abclon-inc/2004033652,"32.0


 
 
 
 
 


High ESG Risk"
66,2023-05-25,Abdullah Al Othaim Markets Co.,https://www.sustainalytics.com/esg-rating/abdullah-al-othaim-markets-co/1054573392,"29.4


 
 
 
 
 


Medium ESG Risk"
67,2023-05-25,Abengoa SA,https://www.sustainalytics.com/esg-rating/abengoa-sa/1008643742,"31.4


 
 
 
 
 


High ESG Risk"
68,2023-05-25,Abengoa Transmisión Sur SA,https://www.sustainalytics.com/esg-rating/abengoa-transmisi-n-sur-sa/1249430906,"22.9


 
 
 
 
 


Medium ESG Risk"
