Login,Title,Visible Rating,Work Life Balance,Culture Values,Career Opportunities,Compensation Benefits,Senior Management Approval,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management,Date,current_dummy,recommends_dummy,Business Outlook,CEO Approval,fulltime_dummy,dummy_rating,Final Rating,negative_title,negative_pros,negative_cons,negative_text_sentiment,Review Sentiment,negative_title_multilingual,negative_pros_multilingual,negative_cons_multilingual,negative_title_roberta,negative_pros_roberta,negative_cons_roberta,negative_title_yelp,negative_pros_yelp,negative_cons_yelp,negative_title_sst,negative_pros_sst,negative_cons_sst,pros_clean,cons_clean,topics_pros_clean,topics_cons_clean
already logged,Wish they would hire the contractors.,4.0,4.5,1.0,4.0,,,"June 17, 2008",,Technical Support,"Austin, TX",Neutral,Neutral,Neutral,,I have been working at 3M,"Beautiful complex, hard working people.",Been working as a contractor in the same possition for 8+ years,,2008-06-17,0,0,0,1,0,1,2.9,4.686427776104619,1.6297700078905202,4.1947088383240185,3.762010504764119,2.2379894952358814,4.710221720842262,2.68294515573626,4.30704811644804,3.366513646663074,1.377225859709695,2.6482540163495583,3.08439681959538,1.726235248346518,2.646049886815249,4.996505438386173,1.0001259302561034,4.853230374970703,beautiful complex hard working people,working contractor possition year,5,-1
already logged,3M Big Profits small Salaries,2.0,4.0,2.0,3.0,,,"June 19, 2008",,Front Line,"Austin, TX",Neutral,Neutral,Neutral,,I have been working at 3M,"Good Building, relaxed atmoshpere. Cheap Gym on site. Flexible working hours. Huge company means larger chance of career progression as opposed to smaller firms.",Very poor rates of pay compared to other companies in area. Keeping employees on temporary contract for years causes anxiety and doesn't makes good hardworking employees look elswhere for employment. Training given is bad and poorly organised.,,2008-06-19,0,0,0,1,0,1,2.4,4.905190713985248,1.7610638298372503,3.682615447876592,3.707711281324447,2.2922887186755543,4.7749248440831265,2.679384532498256,3.4876963611653355,4.282916739815361,1.5277201711879431,1.3103127146543252,3.0970954209913284,2.7422398499874974,3.5312332394870083,4.8908515307964935,1.0173285279492426,4.999617224127258,good building relaxed atmoshpere cheap gym site flexible working hour huge company mean larger chance career progression opposed smaller firm,poor rate pay compared company area keeping employee temporary contract year cause anxiety doesnt make good hardworking employee look elswhere employment training given bad poorly organised,-1,-1
already logged,"Diverse company, many career options, strangled by red tape",4.0,2.0,5.0,4.0,,,"June 27, 2008",,Human Resources,"Saint Paul, MN",Yes,Neutral,No,,I have been working at 3M,Diverse company with diverse career opportunities,Bureaucracies.  Inward focus.  Not willing to let go of dog businesses.,,2008-06-27,0,1,0,1,0,2,3.4,4.803656311900017,2.2221288846915006,2.525125057585252,3.405204475573129,2.5947955244268712,4.817479916216356,3.7856246038804606,4.400330262970952,4.107809954222144,1.972105760705588,3.075793187284489,1.9412925231150968,2.7200569124205214,2.330422681880833,4.951723631761256,1.000500858973139,1.0092336034049645,diverse company diverse career opportunity,bureaucracy inward focus willing let go dog business,-1,14
already logged,"Big dumb corporation believes it's own headlines, but forgets where the rubber meets the road.",2.0,3.0,3.5,1.0,,,"June 28, 2008",,Engineer,"Irvine, CA",No,Neutral,Neutral,,I have been working at 3M,"Steady work with reasonable benefits and pay.  The working pace is amenable to people who seek a ""life balance"" and don't wish to be slaves to the job.  In general the managers are human beings and really seek to have the least amount of day to day complications.  The work place is pretty diverse in terms of people and almost any lifestyle is acceptable as long as you show up when you are supposed to and try to accomplish something.  Flexible working hours are accepted.  Being in Health Care instead of some of the other 3M businesses  is a huge plus.  Health Care is very profitable, how is life making sand paper or roofing granules?  I frankly don't want to know.",Big dumb corporation that kills innovation (yes at the vaunted 3M) and mans the red tape cannons at the first sign of a change.  Continuing push towards moving production to cheap labor sources OUS leaves job security wanting.  In terms of being part of the big 3M (3M Corp.) health care often gets treated to policies and procedures better focused on sand paper and roofing granules.,,2008-06-28,0,0,0,1,0,1,2.1,3.7445375949335684,2.1185379994135065,4.0220224614662925,3.505944078271037,2.494055921728964,3.383158235665858,2.333675043921249,3.6360544990833774,1.6682189139900487,3.30744122679766,2.632289682298752,2.33326461932651,2.7962321892728896,2.495103558702036,4.998567880810002,1.0129968133444094,4.997918939398411,steady work reasonable benefit pay working pace amenable people seek life balance dont wish slave job general manager human really seek least amount day day complication work place pretty diverse term people almost lifestyle acceptable long show supposed try accomplish something flexible working hour accepted health care instead business huge plus health care profitable life making sand paper roofing granule frankly dont want know,big dumb corporation kill innovation yes vaunted man red tape cannon first sign change continuing push towards moving production cheap labor source ous leaf job security wanting term part big corp health care often get treated policy procedure better focused sand paper roofing granule,3,2
already logged,Good company with room to improve.,4.0,4.0,4.0,3.5,,,"August 16, 2008",,Supply Chain Analyst,"Saint Paul, MN",Yes,Neutral,Neutral,,I have been working at 3M,3M offers decent pay and benefits.  If you are a good performer they typically reward you with promotions and/or larger than average raises.  They are willing to let you try and find better ways of doing things...but actually implementing them can be a different story.,"Beauracracy.  Layoffs seem to target workers, not managers, especially in IT.  It seems as though valuable IT resources are lost frequently, while the managers they reported to maintain their position without taking over the past responsibilities.  The pace of change crawls, especially for IT systems.  Some of the systems we have to use seem to have been modern in1975.",,2008-08-16,0,1,0,1,0,2,3.5,1.8496953291294864,2.2692961660912,4.168475931607752,2.8367025453219803,3.1632974546780206,3.017749667810686,2.9736552887948866,3.428892059540112,1.3815188793616788,2.50986575683874,3.3351630835195536,2.930377113429963,3.979015251312517,2.588590519342893,1.0085211688024345,1.1384202478679506,4.998877667752571,offer decent pay benefit good performer typically reward promotion andor larger average raise willing let try find better way thingsbut actually implementing different story,beauracracy layoff seem target worker manager especially seems though valuable resource lost frequently manager reported maintain position without taking past responsibility pace change crawl especially system system use seem modern,-1,-1
already logged,Standard big company cookie cutter carrier.,2.0,3.5,1.0,1.0,,,"August 20, 2008",,Engineer,"Saint Paul, MN",No,Neutral,Neutral,,I have been working at 3M,"Great people to work with, many smart scientists and engineers from all disciplines available for advice and collaboration.  Many exciting technical areas of work.  When the job reqs arent frozen, if unsatisfied at one place one would be able to switch jobs to a completly different area without having to leave the company (keeping all the benefits and vacations).","This might be true for any large company, but it is really hard to stand out for a raise.  The promotions/raise system is set up in such a way to keep everyone below industry median pay at all times.  Not very competative.  Little reward for doing an awesome job or 'performing at a much higher level'.  It's like communism, everyone is the same, which rewards lazy people and chases away great workers that are willing to fight and take risks (what 3M needs most now).  It used to be that 3M paid their employees less but offered more intangible benefits like a secure job, flexible hours and a more freedom for research.  These benefits are gone, and the pay stays low.",,2008-08-20,0,0,0,1,0,1,1.7,4.345579326446238,1.8153254484900856,4.238727291684047,3.7146012239241504,2.2853987760758505,4.158741813013305,2.9076029204912066,3.2275747778007986,2.566482576745014,1.2360379502426868,3.5495112661819266,4.009219480547402,3.494409589482247,3.401141694901371,4.936439903133413,1.004040023879048,4.996349200585707,great people work many smart scientist engineer discipline available advice collaboration many exciting technical area work job reqs arent frozen unsatisfied one place one would able switch job completly different area without leave company keeping benefit vacation,might true large company really hard stand raise promotionsraise system set way keep everyone industry median pay time competative little reward awesome job performing much higher level like communism everyone reward lazy people chase away great worker willing fight take risk need used paid employee le offered intangible benefit like secure job flexible hour freedom research benefit gone pay stay low,-1,-1
already logged,"Not the ""old 3M""",4.0,4.5,3.0,3.5,,,"September 16, 2008",,Safety Specialist,"Saint Paul, MN",Yes,Neutral,Neutral,,I have been working at 3M,"Decent career opportunities.  My boss lets me think freely without hovering.  I have a flexible schedule and am allowed to do my job with little to no micromanagement.  Nice benefits.  Many opportunities available throughout the country and world.  I have lived in different parts of the country all while working for 3M, and have enjoyed most all of it.","Bureaucratic policies and lots of red tape - no pun intended.  It's not the same company I started working for right out of college, for sure.  Policies exist for every little thing - working and making decisions should not have to be this difficult or cumbersome.",,2008-09-16,0,1,0,1,0,2,3.4,4.495262756810762,1.6938438821096924,4.215100941297008,3.717064288982897,2.2829357110171027,4.070027830028753,2.683019253781275,3.871555942428797,3.335908594509082,1.0876899794094308,3.124413242491036,3.854151358830024,3.3862821955089326,2.1922171292179278,4.907212985755661,1.0001693380337755,4.996245219102518,decent career opportunity bos let think freely without hovering flexible schedule allowed job little micromanagement nice benefit many opportunity available throughout country world lived different part country working enjoyed,bureaucratic policy lot red tape pun intended company started working right college sure policy exist every little thing working making decision difficult cumbersome,2,-1
already logged,"3M, a PROUD company to work for",5.0,5.0,5.0,3.0,,,"October 17, 2008",,Product Manager,"Ames, IA",Yes,Neutral,Neutral,,I have been working at 3M,"Lots of good benefits and opportunities are available at 3M. Bosses are usually hands off (perhaps because they are so entangled in meetings). It is a great company to work for, as there are a ton of extracurricular activities outside of work hours. The company has a good pay/job grade system that allows fair transition from one job grade to the other, and fair annual rate increases, based on job grade, EC&DP evaluation and goal accomplishments. It is also a great opportunity for employees to be able to be part of a profit-sharing benefits package. However, most of all, the best reason to work at 3M is the ability to buy Post-It notes at cost, besides all the tapes and other products 3M makes.","3M, which comes from M M M, stands for ""Meetings, Meetings, and More Meetings"". Hence 3 M's. Every day passes with at least a meeting or three - pun intended! There are so many policies to work around, that it becomes sometimes impossible to accomplish a job in a given time frame, or worse, a project that may have required 1 month, takes 6 months to a year to complete. This slows down the momentum. The fact is that this is how ALL 3M businesses operate; it is not only a certain group, but from Operations, to R&D, to Engineering... One other downside, if you don't like to work for a ""big company"", then 3M is a BIG COMPANY spread around the world.",,2008-10-17,0,1,0,1,0,2,4.0,1.5622795241341123,1.5948012838282632,4.351249778979069,2.5071603161664693,3.492839683833532,2.2060502811552283,2.38548524569602,4.264935518088491,1.6223131100564117,1.0867628145784187,2.9606188477655584,1.9087296719306652,3.3372091940985316,2.767834691540309,1.0001884053555534,1.0014563070904696,4.998160767893713,lot good benefit opportunity available boss usually hand perhaps entangled meeting great company work ton extracurricular activity outside work hour company ha good payjob grade system allows fair transition one job grade fair annual rate increase based job grade ecdp evaluation goal accomplishment also great opportunity employee able part profitsharing benefit package however best reason work ability buy postit note cost besides tape product make,come stand meeting meeting meeting hence every day pass least meeting three pun intended many policy work around becomes sometimes impossible accomplish job given time frame worse project may required month take month year complete slows momentum fact business operate certain group operation rd engineering one downside dont like work big company big company spread around world,-1,18
already logged,Just a little 3M,5.0,5.0,5.0,4.0,,,"October 21, 2008",,Sales Representative,"Saint Paul, MN",Yes,Neutral,Neutral,,I have been working at 3M,An open and fairly casual attitude about delivering sales results is the best reason for working at 3M. We are prodivded the tools and traning necessary to do our jobs and do them well. We have support from immediate and upper management when any issues arise and very quick response to correct them.,We are a big company that moves very slow to make changes if they can be made at all. If one is not identified as a top producer or effective leader it may be impossible to move towards the position you want.,,2008-10-21,0,1,0,1,0,2,4.2,3.4229263447624136,2.008982195540243,4.448244267679709,3.492895525448783,2.5071044745512165,4.067007560593298,3.20968596097881,3.2985088235086986,2.3468509819897982,1.740615352227762,4.38504672648169,2.7180913019449435,3.0877488754957034,2.75427841973188,3.2765612946118985,1.0022929800798843,4.99913213619881,open fairly casual attitude delivering sale result best reason working prodivded tool traning necessary job well support immediate upper management issue arise quick response correct,big company move slow make change made one identified top producer effective leader may impossible move towards position want,-1,-1
already logged,3M - hidden opportunities,4.0,4.5,3.0,4.0,,,"November 7, 2008",,Senior Engineer,"Maplewood, MN",Yes,Neutral,Neutral,,I worked at 3M,"3M has a very innovation oriented culture.  Employees are encouraged to come up with even incremental process and product improvements.

Coworkers are very cooperative. There are very few barriers to information sharing. You can go across the campus to another lab and get the resources you need for your project.","To succeed in 3M, you have to be working in a core technology such as films, adhesives or biochemicals. If you are in a support group or division, opportunities for exciting projects or career advancement are limited.

Mid level managers seem to have very little power. They have very limited ability to help their direct reports in performance improvements until it is too late.",,2008-11-07,0,1,0,1,0,2,3.5,4.178517999542299,1.979487860878189,4.532966515210559,3.828480281359836,2.171519718640165,4.340637842193703,3.5238277238406663,3.6588968515034126,2.0063093028085843,1.44861315755151,3.875757481747067,3.318766385445109,2.445962674337723,3.992045296787372,4.8900275554756885,1.0031167738385618,4.999687101591876,ha innovation oriented culture employee encouraged come even incremental process product improvement coworkers cooperative barrier information sharing go across campus another lab get resource need project,succeed working core technology film adhesive biochemicals support group division opportunity exciting project career advancement limited mid level manager seem little power limited ability help direct report performance improvement late,-1,-1
