name,url,gvkey,paragraphs,words,tracking_cookies,g_fog,legal_quality
2U INC,2u.com,19881.0,20.0,1536.0,5.0,18.137836,0.31267899
AGENUS INC,agenusbio.com,129466.0,33.0,1612.0,0.0,16.686981,0.63284278
AGREE REALTY CORP,agreerealty.com,30067.0,4.0,556.0,2.0,19.978645,-0.42284921
ALTIUS MINERALS CORP,altiusminerals.com,66431.0,93.0,3567.0,0.0,21.238497,-0.38676116
AMPCO-PITTSBURGH CORP,ampcopgh.com,1613.0,57.0,3674.0,0.0,25.161032000000002,-0.28979442
ANDERSONS INC,andersonsinc.com,1659.0,23.0,1868.0,0.0,16.509705,-0.56723535
APOGEE ENTERPRISES INC,apog.com,1686.0,4.0,264.0,0.0,16.763828,-0.70078802
APOLLO MEDICAL HOLDING INC,apollomed.net,32809.0,11.0,757.0,0.0,16.22604,-0.24343826
AURORA CANNABIS INC,auroramj.com,22449.0,35.0,1680.0,0.0,17.598442000000002,-0.32407111
AVANOS MEDICAL INC,avanos.com,21352.0,48.0,2746.0,2.0,19.412502,1.0628861
AXION VENTURES INC,axionventures.com,27297.0,31.0,1717.0,0.0,19.146418,0.5840804
INDUSTRIAS BACHOCO SAB DE CV,bachoco.com.mx,221545.0,27.0,1263.0,2.0,23.428194,0.72928625
BANKFINANCIAL CORP,bankfinancial.com,161942.0,19.0,499.0,0.0,16.11685,-0.36369538
HOPE BANCORP INC,bankofhope.com,66235.0,18.0,1161.0,4.0,15.246762,-0.07022513400000001
BROOKFIELD BUSINESS PRTNR LP,bbu.brookfield.com,26721.0,60.0,2649.0,0.0,20.8944,0.93579227
BIG ROCK BREWERY INC,bigrockbeer.com,25581.0,21.0,668.0,8.0,17.898986999999998,0.40905145
BIOSTAGE INC,biostage.com,16719.0,12.0,842.0,2.0,19.519945,-0.060793038
BLUEROCK RESIDENTIAL GROWTH,bluerockresidential.com,19275.0,21.0,2004.0,0.0,17.191593,-0.78271013
BROOKFIELD PROPERTY PRTRS LP,bpy.brookfield.com,17556.0,60.0,2649.0,0.0,20.8944,0.93579227
BTL GROUP LTD,btl.co,26527.0,26.0,1807.0,2.0,17.272776,1.0175842
BLACKBERRY LTD,ca.blackberry.com,65986.0,58.0,4561.0,4.0,21.704369,-0.28017601
CACTUS INC,cactuswellhead.com,32938.0,9.0,602.0,3.0,14.084179,-0.22052188
CALERES INC,caleres.com,2436.0,4.0,503.0,1.0,13.702676,-0.18041104
