Title,Pages,Posted,Author,Date Written,University,Downloads,Abstract Views,Rank,Citation,Refrences,Abstract,Keywords,Citation Links,Download Link,Online PDF Link,Url,Related Journals,Related Journals Link,JEL Classification,Readers,Exports Save,News Mentions,"Share, Likes and comments",Tweets
The Girl Who Cried Pain: A Bias Against Women in the Treatment of Pain,16 Pages,Posted: 27 Feb 2003,Diane E. HoffmannAnita J. Tarzian,"
		
		
			
		
		

		
		
		
		
	Date Written: 2001 women, discrimination, health law, medical ethics, treatment I12, I18, K30
		
		
	",University of Maryland Francis King Carey School of LawUniversity of Maryland Francis King Carey School of Law,20515.0,98590.0,141.0,"
		
			Hoffmann,  Diane E. and Tarzian,  Anita J., The Girl Who Cried Pain: A Bias Against Women in the Treatment of Pain (2001).  Available at SSRN:  or 
		
	",92.0,"In general, women report more severe levels of pain, more frequent incidences of pain, and pain of longer duration than men, but are nonetheless treated for pain less aggressively. The authors investigate this paradox from two perspectives: Do men and women in fact experience pain differently - whether biologically, cognitively, and/or emotionally? And regardless of the answer, what accounts for the differences in the pain treatment they receive, and what can we do to correct this situation? "," women, discrimination, health law, medical ethics, treatment",https://ssrn.com/abstract=383803http://dx.doi.org/10.2139/ssrn.383803 ,Delivery.cfm/SSRN_ID383803_code030227630.pdf?abstractid=383803&mirid=1,Delivery.cfm/SSRN_ID383803_code030227630.pdf?abstractid=383803&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=383803,"University of Maryland Francis King Carey School of Law Legal Studies Research Paper Series,Discrimination, Law & Justice eJournal,Health Care Law & Policy eJournal,Social & Personality Psychology eJournal,Public Health eJournal,Health Psychology eJournal,Anesthesia & Analgesia eJournal,Medical Ethics eJournal,Patient Social Context eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=364780,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=157510,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1492475,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=3587070,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=3169562,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=3587033,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=3168815,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=3169718,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=3385934"," I12, I18, K30",467,14,147,336,549
Deflation and Depression: Is There and Empirical Link?,14 Pages,Posted: 21 Aug 2007,Andrew AtkesonPatrick J. KehoeBen S. BernankeBarry EichengreenPeter TeminBarry EichengreenChristina D. RomerBarry EichengreenJeffrey D. SachsFrederic S. MishkinBen S. BernankeHarold JamesBen S. BernankeBen S. BernankeKevin CareyMichael R. Darby,"
		
		
			
		
		

		
		
			
		
		
	Date Written: February 2004
		
		
	","University of California, Los Angeles (UCLA) - Department of Economics; National Bureau of Economic Research (NBER)Federal Reserve Bank of Minneapolis - Research Department; University of Minnesota - Twin Cities - Department of Economics; National Bureau of Economic Research (NBER)",336.0,5856.0,110165.0,"
		
			Atkeson,  Andrew G. and Kehoe,  Patrick J., Deflation and Depression: Is There and Empirical Link? (February 2004). NBER Working Paper No. w10268,  Available at SSRN: 
		
	",11.0,"Are deflation and depression empirically linked? No, concludes a broad historical study of inflation and real output growth rates. Deflation and depression do seem to have been linked during the 1930s. But in the rest of the data for 17 countries and more than 100 years, there is virtually no evidence of such a link. ",,https://ssrn.com/abstract=495773,Delivery.cfm/nber_w10268.pdf?abstractid=495773&mirid=1,Delivery.cfm/nber_w10268.pdf?abstractid=495773&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=495773,"NBER Working Paper Series,Economic History eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=208253,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1492207",,60,91,96,152,87
"Farms, Their Environmental Harms, and Environmental Law",87 Pages,Posted: 22 Nov 1999,J. B. RuhlLee Anne FennellChristopher S. ElmendorfJ. B. RuhlStephanie M. SternAnthony B. SchutzJohn C. DernbachJoel A. Mintz,"
		
		
			
		
		

		
		
			
		
		
	Date Written: May 2000
		
		
	",Vanderbilt University - Law School,1869.0,9237.0,10569.0,"
		
			Ruhl,  J. B., Farms, Their Environmental Harms, and Environmental Law (May 2000). Ecology Law Quarterly, May 2000,  Available at SSRN:  or 
		
	",,"Farms are one of the last uncharted frontiers of environmental regulation in the United States. Despite the substantial environmental harms they cause-habitat loss and degradation, soil erosion and sedimentation, water resources depletion, soil and water salinization, agrochemical releases, animal wastes, nonpoint source water pollution, and air pollution-environmental law has given them a virtual license to do so. When combined, the active and passive safe harbors farms enjoy in most environmental laws amount to an anti-law that finds no rational basis given the magnitude of harms farms cause. This paper comprehensively documents the environmental harms farms cause and the safe harbors they enjoy in environmental law, then argues for a core federal statute that blends regulation, information, tax, incentive, and trading instruments to address several of the major sources of harm. It is shown that conventional prescriptive regulation simply will not effectively fit the geographic, economic, and political demographics of farms, but that the proposed blend of instruments could achieve significant gains in farms' environmental performance without excessive administrative or compliance complexities and costs. ",,https://ssrn.com/abstract=186848http://dx.doi.org/10.2139/ssrn.186848 ,Delivery.cfm/SSRN_ID1344428_code327310.pdf?abstractid=186848&mirid=1,Delivery.cfm/SSRN_ID1344428_code327310.pdf?abstractid=186848&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=186848,"U.S. Administrative Law eJournal,Environmental Law & Policy eJournal,Water Sustainability eJournal,Agricultural Law & Policy eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2127732,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1432131,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1958984,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2671642",,56,10,77,1,0
"What is a Women's Issue? Bankruptcy, Commercial Law, and Other Gender-Neutral Topics",39 Pages,Posted: 19 Jun 2002,Elizabeth Warren,"
		
		
			
		
		

		
		
		
		
	 Bankruptcy, Commercial Law, Women's Issues
		
		
	",Harvard Law School,1278.0,10088.0,19161.0,"
		
			Warren,  Elizabeth, What is a Women's Issue? Bankruptcy, Commercial Law, and Other Gender-Neutral Topics.  Available at SSRN:  or 
		
	",25.0,"A number of political issues have become publicly identified as women's issues, actively promoted by women's groups and supported by politicians eager to portray themselves as supporters of women.  By contrast, some issues are gender-neutral, such as economic or business issues that are of no special concern to any gender-based constituency.  The 2002 bankruptcy bill, advanced by the consumer credit industry as its highest legislative priority, features a number of provisions that would fall especially hard  on households headed by women and on women with children.  Far more women will be affected by changes in the bankruptcy bill than almost any other legislation pending in Washington in the past several years, yet the bill has not become a rallying point for those committed to equal justice and fairness for women.  Why?  This essay explores how some issues become ""women's issues,"" while bankruptcy remains low on the agenda of most politically active women's groups. "," Bankruptcy, Commercial Law, Women's Issues",https://ssrn.com/abstract=310544http://dx.doi.org/10.2139/ssrn.310544 ,Delivery.cfm/SSRN_ID310544_code020624630.pdf?abstractid=310544&mirid=1,Delivery.cfm/SSRN_ID310544_code020624630.pdf?abstractid=310544&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=310544,"Harvard Law School, Public Law & Legal Theory Research Paper Series,Bankruptcy, Reorganization & Creditors eJournal,Family & Children's Law eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=184030,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=208,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=157489",,7,9,75,102,528
"The Constitutional Case for the Impeachability of Former Federal Officials: An Analysis of the Law, History, and Practice of Late Impeachment",68 Pages,Posted: 24 Oct 2001,Brian C. Kalt,"
		
		
			
		
		

		
		
		
		
	 Impeachment, constitutional law, structuralism K19
		
		
	",Michigan State University College of Law,2217.0,13294.0,7998.0,"
		
			Kalt,  Brian C., The Constitutional Case for the Impeachability of Former Federal Officials: An Analysis of the Law, History, and Practice of Late Impeachment. Texas Review of Law and Politics, Vol. 6,  Available at SSRN:  or 
		
	",210.0,"This article considers the constitutional case for the impeachability of federal officers after they have left office. As a practical matter, while it may rarely be worthwhile to pursue a late impeachment (as with regular impeachment), this does not change the fact that it can be done, or that certain facts may make it desirable. The article principally argues that: (1) Late impeachment was practiced in England and, unlike other aspects of English impeachment, was never explicitly ruled out in America. Indeed, some state constitutions made late impeachability explicit, or even required. (2) Structurally, impeachment is designed not just to remove but to deter, and this effect would be severely undermined if it faded away near the end of a term. Convicted impeachees can be disqualified from future federal office, an important punishment that should not be automatically mooted if the officer resigns or the president removes him. (3) The precedents are mixed, but the Senate has approved late impeachment. Senate opponents of late impeachment have not prevented late trials, and they cannot alter the formal declaration of a majority of the Senate in one case that officers can indeed be impeached after they have left office. "," Impeachment, constitutional law, structuralism",https://ssrn.com/abstract=286277http://dx.doi.org/10.2139/ssrn.286277 ,Delivery.cfm/SSRN_ID286277_code011024100.pdf?abstractid=286277&mirid=1,Delivery.cfm/SSRN_ID286277_code011024100.pdf?abstractid=286277&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=286277,"U.S. Constitutional Law: Separation of Powers & Federalism eJournal,English & Commonwealth Law eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=945712,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=231160", K19,11,2,64,345,288
A Quantitative Approach to Tactical Asset Allocation,70 Pages,Posted: 11 Feb 2007,Meb FaberIlia D. DichevChristopher B. TobeSangheon ShinGokce SoydemirDavid F. BabbelMiguel HerceAneel KeswaniDavid StolinDavid F. BabbelMiguel HerceSimon HayleyValeriy ZakamulinDavid F. BabbelMiguel HerceSimon Hayley,"
		
		
			
		
		

		
		
			
		
		
	Date Written: February 1, 2013 Asset Allocation, Tactical Asset Allocation, GTAA, Quantitative, Hedge C00, C10, C50, G00, G11
		
		
	",Cambria Investment Management,245819.0,790699.0,2.0,"
		
			Faber,  Meb, A Quantitative Approach to Tactical Asset Allocation (February 1, 2013). The Journal of Wealth Management, Spring 2007
,  Available at SSRN: 
		
	",3.0,"In this paper we update our 2006 white paper â€œA Quantitative Approach to Tactical Asset Allocationâ€ with new data from the 2008-2012 period. How well did the purpose of the original paper â€“ to present a simple quantitative method that improves the risk-adjusted returns across various asset classes â€“ hold up since publication? Overall, we find that the models have performed well in real-time, achieving equity like returns with bond like volatility and drawdowns. We also examine the effects of departures from the original system including adding more asset classes, introducing various portfolio allocations, and implementing alternative cash management strategies. "," Asset Allocation, Tactical Asset Allocation, GTAA, Quantitative, Hedge",https://ssrn.com/abstract=962461,Delivery.cfm/SSRN_ID2403936_code649342.pdf?abstractid=962461&mirid=1,Delivery.cfm/SSRN_ID2403936_code649342.pdf?abstractid=962461&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=962461,"Mutual Funds, Hedge Funds, & Investment Industry eJournal,IO: Empirical Studies of Firms & Markets eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504392,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1475474"," C00, C10, C50, G00, G11",1772,1211,50,455,115
"Democracy, Anti-Democracy, and the Canon",25 Pages,Posted: 13 Jul 2000,Richard H. Pildes,"
		
		
			
		
		

		
		
			
		
		
	 An outdated version of this paper was inadvertently posted when the abstract first published.  The current version is now posted for downloading.
		
		
	",New York University School of Law,3241.0,35157.0,4264.0,"
		
			Pildes,  Richard H., Democracy, Anti-Democracy, and the Canon. Constitutional Commentary, Vol. 17, 2000,  Available at SSRN:  or 
		
	",,"The most momentous but ignored case in U.S. Supreme Court history is probably Justice Holmes' opinion upholding the massive disfranchisement of black and poor white voters, through newly formed Southern state constitutions, that took place from 1890-1908. This essay provides historical context for Giles v. Harris (1903) and traces the doctrinal implications for 20th Century constitutional law of Holmes' conclusion that federal courts would not hear claims involving ""political rights."" Giles is virtually ignored in the principal sources of the constitutional canon, including the leading Constitutional Law casebooks. The essay argues that this reflects the larger absence from the conventional constitutional canon of the subject of democracy itself as a systematic focus of study in its own right. By recovering the political, social, and Supreme Court history of the destruction through law of democracy in the early part of the 20th century, this essay contributes to a larger project of seeking to place democracy itself at the center of constitutional thought. ",,https://ssrn.com/abstract=224731http://dx.doi.org/10.2139/ssrn.224731 ,Delivery.cfm/SSRN_ID2341837_code419245.pdf?abstractid=224731&mirid=1,Delivery.cfm/SSRN_ID2341837_code419245.pdf?abstractid=224731&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=224731,"Legal History eJournal,U.S. Constitutional Law: Interpretation & Judicial Review eJournal,Discrimination, Law & Justice eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=261,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=945709,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=157510",,8,5,47,0,3
A Psychoanalytic Interpretation of Dot.Com Stock Valuations,27 Pages,Posted: 6 Mar 2005,David TuckettRichard TafflerJohn R. M. HandBrett TruemanM.h. Franco WongElizabeth DemersBaruch LevElizabeth DemersBaruch LevJohn R. M. HandShivaram RajgopalSuresh KothaSunil GuptaDonald R. LehmannElizabeth K. KeatingThomas Z. LysBrett TruemanM.h. Franco WongJohn E. CoreWayne R. Guay,"
		
		
			
		
		

		
		
		
		
	Date Written: March 1, 2005 Dot.com stocks, mania, valuation models, psychoanalysis, mental objects G10, G12
		
		
	",University College London - Centre for the Study of Decision-Making UncertaintyManchester Business School,919.0,6476.0,31046.0,"
		
			Tuckett,  David and Taffler,  Richard J., A Psychoanalytic Interpretation of Dot.Com Stock Valuations (March 1, 2005).  Available at SSRN:  or 
		
	",25.0,"Financial economists are unable to provide plausible explanations for Internet stock valuations during the recent asset pricing bubble consistent with market rationality. Adopting a psychoanalytic perspective, this paper argues that investors became caught up emotionally with the drama leading to market prices departing in such an extreme way from fundamental value. Specifically, we propose a psychoanalytic theory of mental objects and show how this helps explain what actually took place during the different phases of dot.com mania. The paper concludes, more generally, that an understanding of how emotions determine psychic reality in stock valuations can usefully complement the contribution of conventional normative asset pricing models. "," Dot.com stocks, mania, valuation models, psychoanalysis, mental objects",https://ssrn.com/abstract=676635http://dx.doi.org/10.2139/ssrn.676635 ,Delivery.cfm/SSRN_ID676635_code219953.pdf?abstractid=676635&mirid=1,Delivery.cfm/SSRN_ID676635_code219953.pdf?abstractid=676635&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=676635,"S&P Global Market Intelligence Research Paper Series,Innovation Finance & Accounting eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2978227,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2010022"," G10, G12",4,3,43,5,0
"Imperfect Competition in Auto Lending: Subjective Markup, Racial Disparity, and Class Action Litigation",57 Pages,Posted: 15 Dec 2006,Mark A. CohenHarold A. BlackThomas P. BoehmSusan E. WoodwardJosÃ© L. Moraga-gonzÃ¡lezMatthijs R. WildenbeestSusan E. WoodwardRobert E. HallPatricia A. MccoyMark D. ShroderLauren E. WillisBenito ArruÃ±adaKathleen C. EngelPatricia A. MccoyRobert B. AveryKenneth P. Brevoort,"
		
		
			
		
		

		
		
		
		
	Date Written: December 14, 2006 automobile loans, racial disparity, class action litigation, discrimination, asymmetric information G14, J71, K20
		
		
	",Vanderbilt University - Strategy and Business Economics; Vanderbilt University - Law School; Resources for the Future,648.0,5535.0,49900.0,"
		
			Cohen,  Mark A., Imperfect Competition in Auto Lending: Subjective Markup, Racial Disparity, and Class Action Litigation (December 14, 2006). Vanderbilt Law and Economics Research Paper No. 07-01,  Available at SSRN:  or 
		
	",,"While the market for auto lending at first appears to be highly competitive, many consumers lack the ability to obtain accurate information about price. In many markets, uninformed consumers can free ride off the knowledge of informed consumers. However, the market for auto lending differs from traditional markets because price ultimately depends upon both the credit worthiness of the individual borrower and the details of the auto loan (e.g. term length, payment-to-income ratio, etc.). Auto dealers in this market act as agents of both consumers (identifying suitable auto lenders for them) and auto lenders (identifying prospective borrowers). Given the asymmetric information about prices facing consumers, this market has been characterized by a wide disparity in the prices paid by consumers. This disparity comes about through a mechanism whereby auto dealers are quoted a risk-based interest rate from the lender and are then authorized to subjectively mark up this rate and charge what the market will bear. While the majority of auto loans are written without any markup, some consumers are charged thousands of dollars in addition to the risk-based interest rate. While charging different prices to different consumers is not illegal, one of the apparent consequences in auto lending is that minority consumers - African-Americans and Hispanics in particular - have systematically been charged a higher markup on auto loans than White borrowers. It is this fact - coupled with federal laws outlawing discrimination in credit markets - that led to a series of lawsuits against auto lending institutions. This paper reviews the theory and evidence of subjective markups on auto loans and examines how class action litigation has changed the auto lending market. "," automobile loans, racial disparity, class action litigation, discrimination, asymmetric information",https://ssrn.com/abstract=951827http://dx.doi.org/10.2139/ssrn.951827 ,Delivery.cfm/SSRN_ID951827_code254274.pdf?abstractid=951827&mirid=1,Delivery.cfm/SSRN_ID951827_code254274.pdf?abstractid=951827&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=951827,"Vanderbilt University - Owen Graduate School of Management Research Paper Series,Vanderbilt University Law School Legal Studies Research Paper Series,Banking & Insurance eJournal,IO: Empirical Studies of Firms & Markets eJournal,Discrimination, Law & Justice eJournal,IO: Regulation, Antitrust & Privatization eJournal,Behavioral & Experimental Economics eJournal,Labor: Human Capital eJournal,Regulation of Financial Institutions eJournal,Law & Economics eJournal,Economic Inequality & the Law eJournal,Consumer Social Responsibility eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2147903,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2888646,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1492282,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1475474,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=157510,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1508746,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504263,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1480991,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=146770,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1424615,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=896756,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2001562"," G14, J71, K20",4,7,35,0,1
Anticipatory Prosecution in Terrorism-Related Cases,27 Pages,Posted: 10 Nov 2006,Robert ChesneyWayne MccormackRobert Chesney,"
		
		
			
		
		

		
		
		
		
	 terrorism, prosecution, material support
		
		
	",University of Texas School of Law,282.0,1839.0,132792.0,"
		
			Chesney,  Robert, Anticipatory Prosecution in Terrorism-Related Cases. Wake Forest Univ. Legal Studies Paper No. 944117, THE CHANGING ROLE OF THE AMERICAN PROSECUTOR, Worrall & Nugent, eds., SUNY Press, Forthcoming,  Available at SSRN: 
		
	",45.0,"This chapter, part of an edited volume on the changing role of the American prosecutor, discusses the manner in which the Justice Department has implemented the goal of terrorism prevention in the years since 9/11. It will be of interest primarily to those who seek a relatively brief introduction to the various methods by which federal prosecutors may intervene preventively in the terrorism context (and how those methods relate to one another conceptually), with an emphasis on prosecutions under the material support statutes and the tension that such prosecutions may generate between the benefits of harm prevention and the costs of false positives. Those interested in a more sophisticated treatment of these issues should instead refer to the articles posted here (http://papers.ssrn.com/abstract=587442) and here (http://papers.ssrn.com/abstract=932608). "," terrorism, prosecution, material support",https://ssrn.com/abstract=944117,Delivery.cfm/SSRN_ID944117_code119080.pdf?abstractid=944117&mirid=1,Delivery.cfm/SSRN_ID944117_code119080.pdf?abstractid=944117&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=944117,"Criminal Procedure eJournal,Young Scholars Law eJournal,National Security & Foreign Relations Law eJournal,Legislation & Statutory Interpretation eJournal,Law & Society: Criminal Procedure eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=930470,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1475435,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=571048,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504415,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=912328",,1,9,34,0,1
